Season,Position,Team,Played,Won,Lost,Tied,No Result,Net Run Rate,Score For,Overs For,Score Against,Overs Against,Points,Qualified?,Winner?
2013,1,CSK,16,11,5,0,0,0.53,2461,303.5,2310,305.1,22,1,0
2013,2,MI,16,11,5,0,0,0.441,2514,318.1,2350,315,22,1,1
2013,3,RR,16,10,6,0,0,0.322,2405,310.5,2326,313.4,20,1,0
2013,4,SRH,16,10,6,0,0,0.003,2166,308.5,2206,314.4,20,1,0
2013,5,RCB,16,9,7,0,0,0.457,2571,301,2451,303.1,18,0,0
2013,6,PBKS,16,8,8,0,0,0.226,2428,305.2,2417,312.5,16,0,0
2013,7,KKR,16,6,10,0,0,-0.095,2290,313.4,2316,313.1,12,0,0
2013,8,PWI,16,4,12,0,0,-1.006,2262,318.4,2519,310.5,8,0,0
2013,9,DD,16,3,13,0,0,-0.848,2234,314.5,2436,306.4,6,0,0
