Season,Position,Team,Played,Won,Lost,Tied,No Result,Net Run Rate,Score For,Overs For,Score Against,Overs Against,Points,Qualified?,Winner?
2014,1,PBKS,14,11,3,0,0,0.968,2427,268.3,2229,276.1,22,1,0
2014,2,KKR,14,9,5,0,0,0.418,2125,264,2110,276.3,18,1,1
2014,3,CSK,14,9,5,0,0,0.385,2272,272,2178,273.2,18,1,0
2014,4,MI,14,7,7,0,0,0.095,2180,271.3,2170,273.3,14,1,0
2014,5,RR,14,7,7,0,0,0.06,2155,269.5,2164,273,14,0,0
2014,6,SRH,14,6,8,0,0,-0.399,2102,263.4,2136,255.1,12,0,0
2014,7,RCB,14,5,9,0,0,-0.428,2093,273.5,2163,268,10,0,0
2014,8,DD,14,2,12,0,0,-1.182,1980,263.2,2184,251,4,0,0
