Season,Position,Team,Played,Won,Lost,Tied,No Result,Net Run Rate,Score For,Overs For,Score Against,Overs Against,Points,Qualified?,Winner?
2008,1,RR,14,11,3,0,0,0.632,2245,261.1,2153,270.2,22,1,1
2008,2,PBKS,14,10,4,0,0,0.509,2352,259.5,2271,265.5,20,1,0
2008,3,CSK,14,8,6,0,0,-0.192,2241,264.2,2195,253.1,16,1,0
2008,4,DD,14,7,6,0,1,0.342,2001,233.2,2031,246.4,15,1,0
2008,5,MI,14,7,7,0,0,0.57,2080,249.1,2096,269.3,14,0,0
2008,6,KKR,14,6,7,0,1,-0.147,1845,242.4,1718,221.4,13,0,0
2008,7,RCB,14,4,10,0,0,-1.16,1983,272.4,2205,261.3,8,0,0
2008,8,DEC,14,2,12,0,0,-0.467,2229,270,2307,264.3,4,0,0
