Season,Position,Team,Played,Won,Lost,Tied,No Result,Net Run Rate,Score For,Overs For,Score Against,Overs Against,Points,Qualified?,Winner?
2021,1,DC,14,10,4,0,0,0.481,2180,267,2136,278,20,1,0
2021,2,CSK,14,9,5,0,0,0.455,2368,272,2218,268.5,18,1,1
2021,3,RCB,14,9,5,0,0,-0.14,2165,273.4,2159,268.1,18,1,0
2021,4,KKR,14,7,7,0,0,0.587,2119,259.5,2080,274.5,14,1,0
2021,5,MI,14,7,7,0,0,0.116,2117,265.5,2128,271.1,14,0,0
2021,6,PBKS,14,6,8,0,0,-0.001,2150,270.1,2117,266,12,0,0
2021,7,RR,14,5,9,0,0,-0.993,2196,276,2318,259,10,0,0
2021,8,SRH,14,3,11,0,0,-0.545,2077,277.1,2216,275.4,6,0,0
