Season,Position,Team,Played,Won,Lost,Tied,No Result,Net Run Rate,Score For,Overs For,Score Against,Overs Against,Points,Qualified?,Winner?
2012,1,DD,16,11,5,0,0,0.617,2365,283.5,2361,306,22,1,0
2012,2,KKR,16,10,5,0,1,0.561,2150,285.1,2032,291.1,21,1,1
2012,3,MI,16,10,6,0,0,-0.1,2313,312.3,2343,312.2,20,1,0
2012,4,CSK,16,8,7,0,1,0.1,2232,293.3,2144,285.4,17,1,0
2012,5,RCB,16,8,7,0,1,-0.022,2472,296.2,2505,299.3,17,0,0
2012,6,PBKS,16,8,8,0,0,-0.216,2390,313.3,2455,313.1,16,0,0
2012,7,RR,16,7,9,0,0,0.201,2516,316,2402,309.3,14,0,0
2012,8,DEC,16,4,11,0,1,-0.509,2312,298.4,2405,291.3,9,0,0
2012,9,PWI,16,4,12,0,0,-0.551,2321,319.2,2424,310,8,0,0
