Model,Accuracy,Precision,Recall
Support Vector Machine,0.46153846153846156,0.0,0.0
K-Nearest Neighbors,0.6153846153846154,0.6428571428571429,0.6428571428571429
Decision Tree,0.8461538461538461,0.8571428571428571,0.8571428571428571
Random Forest,0.8846153846153846,0.9230769230769231,0.8571428571428571
Naive Bayes,0.7307692307692307,0.7692307692307693,0.7142857142857143
Perceptron,0.6923076923076923,0.6875,0.7857142857142857
